UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2005,4,1,Tidal wave,,"Tsunamis, Tsunamis Juvenile literature",,
Physical,Horizon,BOOK,2005,4,1,London holiday / Richard Peck.,"Peck, Richard, 1934-",,"Viking,",1998.
Physical,Horizon,BOOK,2005,4,3,Cinco de Mayo : celebrating Hispanic pride / Carol Gnojewski.,"Gnojewski, Carol","Cinco de Mayo Mexican holiday History Juvenile literature, Mexican Americans Social life and customs Juvenile literature, Puebla Battle of Puebla de Zaragoza Mexico 1862 Juvenile literature, Cinco de Mayo Mexican holiday Juvenile literature, Holidays Juvenile literature, Mexico Social life and customs Juvenile literature","Enslow Publishers,",c2002.
Physical,Horizon,BOOK,2005,4,1,Annapolis,,"War stories, Historical fiction, Domestic fiction, Sea stories, United States Naval Academy History Fiction, United States Navy History Fiction, Family Maryland Annapolis History Fiction, United States History Naval Fiction, Annapolis Md History Fiction",,
Physical,Horizon,BOOK,2005,4,1,As a man thinketh,,Thought and thinking,,
Physical,Horizon,BOOK,2005,4,4,Minnie and Moo go dancing / [written and illustrated by] Denys Cazet.,"Cazet, Denys","Cows Juvenile fiction, Parties Fiction, Farm life Juvenile fiction, Humorous stories","DK Pub.,",c1998.
Physical,Horizon,BOOK,2005,4,1,cat who robbed a bank,,"Mystery fiction, Qwilleran Jim Fictitious character Fiction, Cats Fiction, Journalists Fiction, Koko Fictitious character Fiction, Yum Yum Fictitious character Braun Fiction, Siamese cat Fiction",,
Physical,Horizon,BOOK,2005,4,1,Irwin guide to using the Wall Street journal,,"Wall Street journal, Investments United States, Economic indicators United States, Business cycles United States",,
Physical,Horizon,BOOK,2005,4,4,Oracle night,,Novelists American New York State New York Fiction,,
Physical,Horizon,SOUNDDISC,2005,4,1,12 haunted episodes,,Rock music 1991 2000,,
Physical,Horizon,BOOK,2005,4,1,"The Roman army, 31 BC-AD 337 : a sourcebook / Brian Campbell.","Campbell, J. B.",Rome Italy Army,"Routledge,",1994.
Physical,Horizon,SOUNDDISC,2005,4,3,The Ink Spots [sound recording].,Ink Spots (Musical group),"Popular music 1931 1940, Popular music 1941 1950","MCA,",p1999.
Physical,Horizon,BOOK,2005,4,1,First 24 hours of war in the Pacific / by Donald J. Young.,"Young, Donald J., 1930-",World War 1939 1945 Campaigns Pacific Area,"Burd Street Press,",c1998.
Physical,Horizon,BOOK,2005,4,1,Where do birds live,,"Birds Habitat Juvenile literature, Birds Habitat",,
Physical,Horizon,VIDEOCASS,2005,4,2,Doctor Who The pirate planet,,"Video recordings for the hearing impaired, Science fiction television programs, Time travel Drama, Doctor Who Fictitious character Drama",,
Physical,Horizon,BOOK,2005,4,2,Australia a cultural history,,Australia Civilization,,
Physical,Horizon,BOOK,2005,4,2,Be afraid tales of horror,,"Horror tales American, Childrens stories American",,
Physical,Horizon,BOOK,2005,4,1,country under my skin a memoir of love and war,,"Revolutionaries Nicaragua Biography, Nicaragua History 1937 1979, Belli Gioconda 1948, Women revolutionaries Nicaragua Biography, Upper class women Nicaragua Biography",,
Physical,Horizon,BOOK,2005,4,1,Giai đoạn mới trên chiến trường cũ / Nguyễn Hữu Nghĩa.,"Nguyẽn, Hữu Nghĩa",Vietnam Politics and government 1975,"Làng Văn,",1999.
Physical,Horizon,BOOK,2005,4,16,Wild about books / by Judy Sierra ; illustrated by Marc Brown.,"Sierra, Judy","Zoo animals Juvenile fiction, Books and reading Juvenile fiction, Bookmobiles Juvenile fiction, Libraries Juvenile fiction, Stories in rhyme Juvenile fiction","Knopf,",2004.
Physical,Horizon,SOUNDDISC,2005,4,4,Night nurse,,Reggae music,,
Physical,Horizon,VIDEOCASS,2005,4,1,Monty Python live,,"Video recordings for the hearing impaired, Television comedies Great Britain",,
Physical,Horizon,SOUNDDISC,2005,4,1,Seize the time [sound recording] / Fun-da-mental.,Fun-Da-Mental (Musical group),"Popular music 1991 2000, Rap Music, Black Muslims Songs and music","Beggars Banquet/Mammoth Records ; Distributed by Atlantic Recording Corp.,",p1995.
Physical,Horizon,SOUNDDISC,2005,4,1,N E W S,,"Rock music 2001 2010, Popular instrumental music 2001 2010",,
Physical,Horizon,VIDEODISC,2005,4,3,Mapp Lucia Series two,,"England Drama, Women England Drama, Lucia Fictitious character Drama, Mapp Miss Fictitious character Drama",,
Physical,Horizon,BOOK,2005,4,1,Arthur and the goalie ghost,,"Animals Fiction, Ghosts Fiction, Hockey Fiction, Self confidence Fiction",,
Physical,Horizon,VIDEOCASS,2005,4,1,Sankofa,,"Feature films, African American women Drama, African Americans Race identity Drama, Slavery United States Drama",,
Physical,Horizon,VIDEOCASS,2005,4,1,Carlos Sauras Garden of delights,,Feature films,,
Physical,Horizon,BOOK,2005,4,3,Joust,,"Fantasy fiction, Revenge Fiction, Dragons Fiction, Alta Imaginary place Fiction",,
Physical,Horizon,SOUNDCASS,2005,4,2,Learn Chinese the fast and fun way,,"Chinese language Sound recordings for English speakers, Chinese language Self instruction",,
Physical,Horizon,BOOK,2005,4,1,Thats no puddle thats Angela,,"Butt ugly martians Fictitious characters Fiction, Martians Fiction",,
Physical,Horizon,BOOK,2005,4,3,"Tell me one thing, Dad / Tom Pow ; illustrated by Ian Andrew.","Pow, Tom","Fathers and daughters Juvenile fiction, Bedtime Juvenile fiction","Candlewick Press,",2004.
Physical,Horizon,BOOK,2005,4,5,Best friends for Frances. Pictures by Lillian Hoban.,"Hoban, Russell","Badgers Juvenile fiction, Brothers and sisters Fiction",Harper & Row,[1969]
Physical,Horizon,BOOK,2005,4,1,Energy projects for young scientists,,"Experiments, Power Mechanics Experiments Juvenile literature, Power Mechanics Experiments",,
Physical,Horizon,BOOK,2005,4,1,Identity youth and crisis,,Identity Psychology,,
Physical,Horizon,BOOK,2005,4,1,Cuba Cocina the tantalizing world of Cuban cooking yesterday today and tomorrow,,Cookery Cuban,,
Physical,Horizon,VIDEODISC,2005,4,6,Freestyle made easy,,"Swimming, Swimming Technique",,
Physical,Horizon,BOOK,2005,4,1,Mind body therapy ideodynamic healing in hypnosis,,"Mind and body, Psychotherapy, Hypnotism Therapeutic use, Medicine Psychosomatic",,
Physical,Horizon,BOOK,2005,4,2,Wolverine,,"Wolverine Fictitious character, Superhero comic books strips etc",,
Physical,Horizon,BOOK,2005,4,1,Las Vegas including North Las Vegas Henderson Boulder City and beyond,,"Las Vegas Nev Guidebooks, Las Vegas Region Nev Guidebooks",,
Physical,Horizon,BOOK,2005,4,1,Pumpkin circle : the story of a garden / story by George Levenson ; photography by Shmuel Thaler.,"Levenson, George","Pumpkin Juvenile literature, Pumpkin Life cycles Juvenile literature","Tricycle Press,",c1999.
Physical,Horizon,SOUNDCASS,2005,4,1,Lovers Lane,,"Love stories, California Fiction, Custody of children Fiction, Single mothers Fiction, Private investigators Fiction, Romantic suspense fiction",,
Physical,Horizon,BOOK,2005,4,1,Our mutual friend,,,,
Physical,Horizon,VIDEOCASS,2005,4,6,Butterflies are free,,"Feature films, Comedy films",,
Physical,Horizon,BOOK,2005,4,1,haunted looking glass ghost stories,,Ghost stories English,,
Physical,Horizon,BOOK,2005,4,4,Seriously funny the rebel comedians of the 1950s and 1960s,,"Comedians United States Biography, Stand up comedy United States History 20th century",,
Physical,Horizon,BOOK,2005,4,1,dads guide to the toddler years,,"Father and child, Toddlers, Toddlers Care",,
Physical,Horizon,VIDEODISC,2005,4,7,"Kagemusha [videorecording] : the shadow warrior / Toho, Kurosawa Purodakushon ; directed by Akira Kurosawa.",,"Samurai Japan Drama, Daimyo Japan Drama, Feature films, Motion pictures Japanese",20th Century Fox Home Entertainment :,"[2005],"
Physical,Horizon,SOUNDDISC,2005,4,2,Chocolate factory [sound recording] / R. Kelly.,"Kelly, R., 1969-",Popular music 2001 2010,"Jive,",p2003.
Physical,Horizon,BOOK,2005,4,2,Vogue knitting baby knits.,,Knitting Patterns,"Butterick Pub. Co.,",c1999.
Physical,Horizon,BOOK,2005,4,6,Hegemony or survival : America's quest for global dominance / Noam Chomsky.,"Chomsky, Noam","United States Foreign relations 2001 2009, United States Foreign relations 20th century, Imperialism, United States Military policy, Unilateral acts International law, Intervention International law, State sponsored terrorism, War on Terrorism 2001 2009","Metropolitan Books,",2003.
Physical,Horizon,BOOK,2005,4,2,The Subject Steve : a novel / Sam Lipsyte.,"Lipsyte, Sam, 1968-","Terminally ill Fiction, Black humor Literature","Broadway Books,",c2001.
